DEPT	AC	GR	SP	DEN	por	per	sw
2499.875	68.622	33.613	-255.954	1.81	6.8622	3.3613	3.3613
2500	75.569	32.056	-257.267	1.822	7.5569	3.2056	3.2056
2500.125	78.153	31.03	-257.831	1.834	7.8153	3.103	3.103
2500.25	114.545	30.145	-257.119	1.849	11.4545	3.0145	3.0145
2500.375	125.984	29.015	-255.18	1.877	12.5984	2.9015	2.9015
2500.5	112.812	27.643	-252.149	1.918	11.2812	2.7643	2.7643
2500.625	93.111	26.994	-248.716	1.97	9.3111	2.6994	2.6994
2500.75	95.733	28.584	-246.067	2.025	9.5733	2.8584	2.8584
2500.875	150.83	31.031	-244.837	1.908	15.083	3.1031	3.1031
2501	154.253	32.82	-243.096	1.829	15.4253	3.282	3.282
2501.125	152.098	33.235	-240.094	1.802	15.2098	3.3235	3.3235
2501.25	132.454	33.891	-235.91	1.864	13.2454	3.3891	3.3891
2501.375	88.714	36.239	-231.479	1.988	8.8714	3.6239	3.6239
2501.5	87.032	40.588	-229.12	1.928	8.7032	4.0588	4.0588
2501.625	83.867	44.098	-227.929	1.833	8.3867	4.4098	4.4098
2501.75	83.451	45.989	-224.403	1.832	8.3451	4.5989	4.5989
2501.875	84.614	47.347	-219.652	1.844	8.4614	4.7347	4.7347
2502	85.788	46.515	-215.011	1.849	8.5788	4.6515	4.6515
2502.125	85.68	45.454	-211.478	1.883	8.568	4.5454	4.5454
2502.25	84.736	43.488	-208.658	1.916	8.4736	4.3488	4.3488
2502.375	85.372	41.513	-206.408	1.932	8.5372	4.1513	4.1513
2502.5	87.21	40.657	-204.743	1.955	8.721	4.0657	4.0657
2502.625	91.757	41.686	-203.662	2.003	9.1757	4.1686	4.1686
2502.75	98.53	41.139	-203.145	2.088	9.853	4.1139	4.1139
2502.875	101.976	40.28	-203.248	2.226	10.1976	4.028	4.028
2503	101.406	38.378	-203.601	2.408	10.1406	3.8378	3.8378
2503.125	83.326	36.508	-203.726	2.526	8.3326	3.6508	3.6508
2503.25	77.339	36.472	-203.695	2.565	7.7339	3.6472	3.6472
2503.375	83.886	36.753	-203.625	2.551	8.3886	3.6753	3.6753
2503.5	85.054	38.358	-203.615	2.535	8.5054	3.8358	3.8358
2503.625	83.126	39.024	-203.512	2.547	8.3126	3.9024	3.9024
2503.75	86.268	38.365	-203.274	2.537	8.6268	3.8365	3.8365
2503.875	88.012	36.811	-202.983	2.52	8.8012	3.6811	3.6811
2504	89.455	35.435	-202.79	2.503	8.9455	3.5435	3.5435
2504.125	92.056	36.832	-202.75	2.485	9.2056	3.6832	3.6832
2504.25	95.391	37.76	-202.75	2.457	9.5391	3.776	3.776
2504.375	93.791	37.29	-202.647	2.428	9.3791	3.729	3.729
2504.5	91.06	35.668	-202.585	2.416	9.106	3.5668	3.5668
2504.625	89.727	34.053	-202.708	2.434	8.9727	3.4053	3.4053
2504.75	90.656	34.759	-202.982	2.462	9.0656	3.4759	3.4759
2504.875	92.537	34.582	-203.283	2.474	9.2537	3.4582	3.4582
2505	88.558	34.43	-203.54	2.487	8.8558	3.443	3.443
2505.125	89.171	34.287	-203.469	2.483	8.9171	3.4287	3.4287
2505.25	90.124	34.555	-203.508	2.472	9.0124	3.4555	3.4555
2505.375	92.985	36.227	-203.611	2.45	9.2985	3.6227	3.6227
2505.5	97.729	40.241	-203.701	2.428	9.7729	4.0241	4.0241
2505.625	101.612	45.939	-203.748	2.431	10.1612	4.5939	4.5939
2505.75	106.494	51.92	-203.697	2.467	10.6494	5.192	5.192
2505.875	109.037	55.614	-203.729	2.487	10.9037	5.5614	5.5614
2506	102.885	54.972	-203.598	2.48	10.2885	5.4972	5.4972
2506.125	96.831	50.863	-203.341	2.46	9.6831	5.0863	5.0863
2506.25	99.536	47.506	-203.133	2.445	9.9536	4.7506	4.7506
2506.375	99.126	45.794	-203.184	2.423	9.9126	4.5794	4.5794
2506.5	95.831	46.282	-203.091	2.416	9.5831	4.6282	4.6282
2506.625	92.255	47.4	-203.099	2.423	9.2255	4.74	4.74
2506.75	90.553	46.291	-203.151	2.464	9.0553	4.6291	4.6291
2506.875	90.285	48.424	-203.202	2.523	9.0285	4.8424	4.8424
2507	89.009	46.458	-203.241	2.554	8.9009	4.6458	4.6458
2507.125	90.814	45.948	-203.087	2.514	9.0814	4.5948	4.5948
2507.25	88.89	45.629	-203.149	2.476	8.889	4.5629	4.5629
2507.375	88.948	44.054	-203.219	2.445	8.8948	4.4054	4.4054
2507.5	90.214	44.646	-203.209	2.431	9.0214	4.4646	4.4646
2507.625	91.134	42.949	-203.144	2.432	9.1134	4.2949	4.2949
2507.75	93.226	42.583	-203.246	2.414	9.3226	4.2583	4.2583
2507.875	90.767	43.379	-203.349	2.373	9.0767	4.3379	4.3379
2508	92.304	44.724	-203.566	2.326	9.2304	4.4724	4.4724
2508.125	93.289	46.014	-203.877	2.28	9.3289	4.6014	4.6014
2508.25	93.712	48.241	-204.046	2.24	9.3712	4.8241	4.8241
2508.375	96.294	48.7	-203.843	2.202	9.6294	4.87	4.87
2508.5	93.381	50.839	-204.202	2.179	9.3381	5.0839	5.0839
2508.625	96.352	52.565	-204.295	2.171	9.6352	5.2565	5.2565
2508.75	103.437	52.902	-204.18	2.183	10.3437	5.2902	5.2902
2508.875	106.229	55.354	-203.908	2.196	10.6229	5.5354	5.5354
2509	102.167	56.411	-203.614	2.195	10.2167	5.6411	5.6411
2509.125	102.249	58.262	-203.563	2.182	10.2249	5.8262	5.8262
2509.25	104.163	58.143	-203.461	2.193	10.4163	5.8143	5.8143
2509.375	106.885	56.111	-203.239	2.189	10.6885	5.6111	5.6111
2509.5	107.995	53.799	-203.04	2.197	10.7995	5.3799	5.3799
2509.625	107.254	51.74	-202.921	2.21	10.7254	5.174	5.174
2509.75	105.444	51.846	-202.863	2.204	10.5444	5.1846	5.1846
2509.875	101.054	51.32	-202.761	2.2	10.1054	5.132	5.132
2510	99.46	51.058	-202.567	2.177	9.946	5.1058	5.1058
2510.125	100.468	51.531	-202.535	2.178	10.0468	5.1531	5.1531
2510.25	104.206	51.733	-202.633	2.194	10.4206	5.1733	5.1733
